,country,id,lat,lng,name,clouds,date,humidity,pressure,temp,temp_max,temp_min,wind_deg,wind_speed
142,CF,2384770,3.86781,17.989229,Mbaiki,64,2017-11-19 03:00:00,97,972.35,21.52,21.52,21.52,304.501,1.07
143,CF,2383653,7.0,18.0,Préfecture de l’ Ouham,24,2017-11-19 03:00:00,92,973.24,21.8,21.8,21.8,201.001,4.52
144,CI,2596934,7.96111,-6.67306,Seguela,24,2017-11-19 03:00:00,87,987.67,22.72,22.72,22.72,187.501,3.92
145,CM,2225991,11.04611,14.14011,Mora,0,2017-11-19 03:00:00,42,977.3,19.87,19.87,19.87,355.001,3.22
146,CM,2230876,9.93417,13.94861,Guider,0,2017-11-19 03:00:00,59,954.44,17.72,17.72,17.72,353.001,1.87
147,EC,3654410,-0.95,-80.73333,Manta,48,2017-11-19 03:00:00,100,1020.1,21.89,21.9,21.89,215.001,4.47
148,EG,361179,29.9,31.25,Al Hawamidiyah,0,2017-11-19 03:00:00,87,1014.51,13.64,13.64,9.45,329.001,1.32
149,EG,362277,27.9312,30.838409,Abu Qurqas,0,2017-11-19 03:00:00,88,1016.13,12.47,12.47,12.47,330.501,3.42
150,ET,326036,4.88333,38.083328,Yabelo,0,2017-11-19 03:00:00,53,880.59,13.82,13.82,13.82,91.5011,3.07
151,ET,342559,8.9,40.783329,Bedesa,0,2017-11-19 03:00:00,76,830.09,3.4,3.4,3.4,335.001,0.97
152,ID,1625929,-2.08333,101.383331,Sungaipenuh,88,2017-11-19 03:00:00,88,904.18,22.77,22.77,22.77,277.501,0.67
153,ID,1626916,0.9,109.0,Singkawang,24,2017-11-19 03:00:00,79,1017.26,30.3,30.3,30.3,225.501,1.32
154,ID,1636507,-1.03333,103.583328,Mandahara,92,2017-11-19 03:00:00,96,1023.59,25.05,25.05,25.05,320.501,2.27
155,ID,1639304,-3.00913,114.387589,Kualakapuas,32,2017-11-19 03:00:00,71,1021.23,32.26,32.26,31.72,284.501,1.62
156,ID,1650600,1.05,101.283333,Balaipungut,80,2017-11-19 03:00:00,98,1018.4,27.73,27.73,26.77,218.001,1.57
157,ID,2002872,-7.96556,110.603607,Wonosari,100,2017-11-19 03:00:00,100,992.94,24.62,24.62,24.62,268.501,1.67
158,IN,1253251,13.96667,79.583328,Venkatagiri,68,2017-11-19 03:00:00,91,1016.13,26.05,26.05,26.05,279.501,1.22
159,IN,1254858,17.033331,74.599998,Tasgaon,24,2017-11-19 03:00:00,51,959.38,25.65,25.65,25.65,33.0011,3.02
160,IN,1255254,14.91667,78.01667,Tadpatri,100,2017-11-19 03:00:00,82,992.21,24.87,24.87,24.87,68.0011,1.82
161,IN,1255619,18.033331,73.01667,Srivardhan,48,2017-11-19 03:00:00,75,1009.07,25.77,25.77,25.77,49.5011,1.87
162,IN,1255646,29.84194,73.45417,Karanpur,0,2017-11-19 03:00:00,83,1014.67,12.7,12.7,12.7,278.501,1.27
163,IN,1256050,27.049999,78.699997,Sirsaganj,56,2017-11-19 03:00:00,84,1012.23,17.32,17.32,17.32,309.001,3.92
164,IN,1256119,19.85,74.0,Sinnar,0,2017-11-19 03:00:00,50,954.11,21.2,21.2,21.2,84.5011,2.22
165,IN,1256735,26.049999,82.683327,Shahganj,0,2017-11-19 03:00:00,88,1018.8,20.77,20.77,20.77,244.001,2.02
166,IN,1262963,23.0,93.0,State of Mizoram,0,2017-11-19 03:00:00,78,934.17,23.7,23.7,23.7,69.0011,0.77
167,IN,1256968,15.9,73.816673,Savantvadi,68,2017-11-19 03:00:00,71,990.35,26.97,26.97,26.97,62.0011,1.67
168,IN,1258291,14.05,78.75,Rayachoti,36,2017-11-19 03:00:00,95,962.22,22.7,22.7,22.7,125.001,1.92
169,IN,1258297,24.933331,75.583328,Rawatbhata,0,2017-11-19 03:00:00,76,990.59,16.27,16.27,16.27,352.501,2.52
170,IN,1258843,25.049999,87.833328,Rajmahal,0,2017-11-19 03:00:00,83,1020.42,24.7,24.7,24.7,241.001,1.87
171,IN,1259005,21.9,83.400002,Raigarh,20,2017-11-19 03:00:00,81,1000.72,24.55,24.55,24.55,50.5011,1.92
172,IN,1259460,26.91667,71.916672,Pokaran,0,2017-11-19 03:00:00,83,1004.21,11.37,11.37,11.37,22.0011,1.77
173,IN,1259775,31.029169,75.784172,Phillaur,0,2017-11-19 03:00:00,84,1004.62,10.55,10.55,10.55,304.001,2.02
174,IN,1259954,17.08333,82.133331,Peddapuram,92,2017-11-19 03:00:00,87,1026.18,26.62,26.62,26.62,68.5011,2.07
175,IN,1260210,22.85,82.199997,Pasan,8,2017-11-19 03:00:00,79,970.16,22.07,22.07,22.07,322.001,1.97
176,IN,1260417,10.93333,79.283333,Papanasam,8,2017-11-19 03:00:00,86,1021.64,29.28,29.28,26.9,352.001,2.02
177,IN,1261754,22.950001,79.199997,Narsimhapur,88,2017-11-19 03:00:00,92,974.46,19.2,19.2,19.2,318.501,2.42
178,IN,1262089,29.91667,77.300003,Nakur,0,2017-11-19 03:00:00,86,999.43,14.3,14.3,14.3,327.001,2.42
179,IN,1262491,27.066669,73.816673,Mundwa,0,2017-11-19 03:00:00,79,996.02,13.07,13.07,13.07,20.0011,2.17
180,IN,1262574,20.066669,79.666672,Mul,0,2017-11-19 03:00:00,74,1005.99,25.97,25.97,25.97,13.5011,2.02
181,IN,1262734,22.9,73.833328,Morwa,0,2017-11-19 03:00:00,77,1007.78,18.77,18.77,18.77,68.5011,3.97
182,IN,1263012,16.866671,79.583328,Mirialguda,64,2017-11-19 03:00:00,86,1015.24,25.9,25.9,25.9,41.0011,2.02
183,IN,1263622,29.98333,75.383331,Mansa,0,2017-11-19 03:00:00,88,1005.99,12.77,12.77,12.77,309.001,1.77
184,JM,3490165,18.01248,-76.799278,Half Way Tree,44,2017-11-19 03:00:00,100,997.4,24.87,24.87,23.12,16.0011,1.62
185,JP,1850405,39.900002,139.966675,Tenno,80,2017-11-19 03:00:00,100,1018.56,1.22,5.2,1.22,298.501,10.22
186,JP,1850872,35.903931,136.16687,Takefu,92,2017-11-19 03:00:00,100,998.45,5.35,6.97,5.35,300.001,6.32
187,JP,1863614,33.883331,135.149994,Gobo,0,2017-11-19 03:00:00,100,1031.85,10.85,12.97,10.85,309.001,10.67
